population,year,Date,consomation
32.3,2016-03-31,1985,34.62201289043133
32.5,2016-04-30,1985,34.836390679226575
32.5,2016-05-31,1985,34.836390679226575
32.5,2016-06-30,1985,34.836390679226575
32.6,2016-07-31,1985,34.94357957362419
32.7,2016-08-31,1985,35.05076846802182
32.8,2016-09-30,1985,35.15795736241943
32.9,2016-10-31,1985,35.265146256817054
33.0,2016-11-30,1985,35.37233515121468
33.1,2016-12-31,1985,35.479524045612294
33.2,2017-01-31,1985,35.58671294000992
33.2,2017-02-28,1986,35.53617443012884
33.3,2017-03-31,1986,35.64321110009911
33.5,2017-04-30,1986,35.85728444003964
33.5,2017-05-31,1986,35.85728444003964
33.6,2017-06-30,1986,35.96432111000991
33.7,2017-07-31,1986,36.071357779980175
33.8,2017-08-31,1986,36.178394449950446
33.9,2017-09-30,1986,36.285431119920716
33.9,2017-10-31,1986,36.285431119920716
33.9,2017-11-30,1986,36.285431119920716
34.1,2017-12-31,1986,36.49950445986125
34.1,2018-01-31,1986,36.49950445986125
34.4,2018-02-28,1987,41.02783556215948
34.4,2018-03-31,1987,41.02783556215948
34.6,2018-04-30,1987,41.26636948984646
34.6,2018-05-31,1987,41.26636948984646
34.8,2018-06-30,1987,41.50490341753343
34.8,2018-07-31,1987,41.50490341753343
34.9,2018-08-31,1987,41.62417038137692
35.1,2018-09-30,1987,41.86270430906389
35.1,2018-10-31,1987,41.86270430906389
35.1,2018-11-30,1987,41.86270430906389
35.2,2018-12-31,1987,41.98197127290738
35.4,2019-01-31,1987,42.22050520059435
35.5,2019-02-28,1987,42.33977216443784
35.5,2019-03-31,1987,42.33977216443784
35.5,2019-04-30,1988,44.480445544554456
35.6,2019-05-31,1988,44.60574257425743
35.6,2019-06-30,1988,44.60574257425743
35.7,2019-07-31,1988,44.731039603960404
35.7,2019-08-31,1988,44.731039603960404
35.7,2019-09-30,1988,44.731039603960404
35.7,2019-10-31,1988,44.731039603960404
35.8,2019-11-30,1988,44.85633663366336
35.9,2019-12-31,1988,44.98163366336633
36.0,2020-01-31,1989,46.74121721919842
36.1,2020-02-29,1989,46.871053933696196
36.2,2020-03-31,1989,47.000890648193966
36.2,2020-04-30,1989,47.000890648193966
36.4,2020-05-31,1989,47.26056407718951
36.4,2020-06-30,1989,47.26056407718951
36.6,2020-07-31,1989,47.52023750618506
36.7,2020-08-31,1989,47.65007422068283
36.8,2020-09-30,1989,47.7799109351806
37.0,2020-10-31,1989,48.03958436417615
37.0,2020-11-30,1989,48.03958436417615
37.0,2020-12-31,1989,48.03958436417615
37.0,2021-01-31,1989,48.03958436417615
37.2,2021-02-28,1990,50.20712166172107
37.2,2021-03-31,1990,50.20712166172107
37.2,2021-04-30,1990,50.20712166172107
37.2,2021-05-31,1990,50.20712166172107
37.2,2021-06-30,1990,50.20712166172107
37.3,2021-07-31,1990,50.34208704253214
37.3,2021-08-31,1990,50.34208704253214
37.4,2021-09-30,1990,50.47705242334322
37.4,2021-10-31,1991,58.12436974789915
37.5,2021-11-30,1991,58.279782501235786
37.6,2021-12-31,1991,58.43519525457242
37.6,2022-01-31,1991,58.43519525457242
37.6,2022-02-28,1991,58.43519525457242
37.7,2022-03-31,1991,58.59060800790905
37.8,2022-04-30,1991,58.746020761245674
37.8,2022-05-31,1991,58.746020761245674
38.0,2022-06-30,1991,59.056846267918935
38.0,2022-07-31,1991,59.056846267918935
38.1,2022-08-31,1991,59.21225902125556
38.2,2022-09-30,1991,59.36767177459219
38.4,2022-10-31,1991,59.67849728126544
38.6,2022-11-30,1991,59.98932278793871
38.6,2022-12-31,1992,61.88586956521739
38.7,2023-01-31,1992,62.04619565217392
38.8,2023-02-28,1992,62.20652173913043
38.9,2023-03-31,1992,62.36684782608695
39.0,2023-04-30,1992,62.52717391304348
39.1,2023-05-31,1992,62.6875
39.3,2023-06-30,1992,63.00815217391304
39.4,2023-07-31,1992,63.16847826086956
39.4,2023-08-31,1992,63.16847826086956
39.5,2023-09-30,1992,63.328804347826086
39.6,2023-10-31,1992,63.48913043478261
39.8,2023-11-30,1992,63.80978260869564
39.9,2023-12-31,1992,63.97010869565217
40.0,2024-01-31,1992,64.1304347826087
